solver,instance,sense,status,objval_reported,objbound,solvertime,totaltime,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time
PAJ_CPLEX_MOSEK,classical_20_0.cbf,Min,Optimal,-0.08229515392303179,-0.08229515321398118,0.10614919662475586,0.10656189918518066,PAJ_CPLEX_MOSEK.classical_20_0.txt,0.0,1.6568951766160467e-9,1.2499030699331115e-9,-Inf,-Inf,0.0,Optimal,1.6740340104565172e-11,4,4,0,4.75e-03
PAJ_CPLEX_MOSEK,classical_30_0.cbf,Min,Optimal,-0.0798144955077161,-0.07981449546485046,0.17629599571228027,0.17672491073608398,PAJ_CPLEX_MOSEK.classical_30_0.txt,0.0,1.7793611029048861e-10,1.3402692844444175e-10,-Inf,-Inf,0.0,Optimal,1.5115154961898135e-12,4,4,0,5.85e-03
PAJ_CPLEX_MOSEK,classical_40_0.cbf,Min,Optimal,-0.08152106131343952,-0.08152106186509804,0.9833238124847412,0.9837570190429688,PAJ_CPLEX_MOSEK.classical_40_0.txt,0.0,1.1407527145124163e-9,0.0,-Inf,-Inf,0.0,Optimal,1.0164312901541372e-13,3,3,0,5.03e-03
PAJ_CPLEX_MOSEK,classical_50_0.cbf,Min,Optimal,-0.09074141601639227,-0.09074141601639227,64.5497510433197,64.55024480819702,PAJ_CPLEX_MOSEK.classical_50_0.txt,0.0,1.1102230246251565e-16,6.165501216764957e-6,-Inf,-Inf,0.0,Optimal,1.1568761395248432e-8,6,5,1,1.10e-02
PAJ_CPLEX_MOSEK,classical_50_1.cbf,Min,Optimal,-0.09476022510304055,-0.09476058859687754,11.729493856430054,11.729931116104126,PAJ_CPLEX_MOSEK.classical_50_1.txt,0.0,1.6762199184228166e-8,0.0,-Inf,-Inf,0.0,Optimal,9.08095831064031e-15,7,7,0,1.34e-02
PAJ_CPLEX_MOSEK,classical_50_2.cbf,Min,Optimal,-0.09052797338411646,-0.09052873166591259,19.60943603515625,19.609897136688232,PAJ_CPLEX_MOSEK.classical_50_2.txt,0.0,4.034564349275627e-9,0.0,-Inf,-Inf,0.0,Optimal,3.0663054615514945e-15,6,6,0,1.15e-02
PAJ_CPLEX_MOSEK,clay0203h.cbf,Min,Optimal,41573.2620016876,41573.262511992456,1.3860211372375488,1.3884129524230957,PAJ_CPLEX_MOSEK.clay0203h.txt,0.0,5.012339507279673e-9,2.7675923774950206e-9,-Inf,-Inf,0.0,Optimal,5.158348503624623e-7,6,4,2,2.84e-02
PAJ_CPLEX_MOSEK,clay0203m.cbf,Min,Optimal,41573.262974096724,41573.2625215796,1.1398751735687256,1.141653060913086,PAJ_CPLEX_MOSEK.clay0203m.txt,0.0,0.0,3.71127159226603e-7,-Inf,-Inf,0.0,Optimal,2.852749594289914e-14,6,4,2,1.36e-02
PAJ_CPLEX_MOSEK,clay0204h.cbf,Min,Optimal,6544.9999999857455,6545.0,1.6649229526519775,1.668524980545044,PAJ_CPLEX_MOSEK.clay0204h.txt,0.0,1.4740166420779133e-7,0.0,-Inf,-Inf,0.0,Optimal,2.7689493199110314e-11,1,1,0,4.84e-03
PAJ_CPLEX_MOSEK,clay0204m.cbf,Min,Optimal,6545.000035421063,6545.0,1.2049269676208496,1.2073211669921875,PAJ_CPLEX_MOSEK.clay0204m.txt,0.0,1.8730048623183393e-9,0.0,-Inf,-Inf,0.0,Optimal,4.1688068546732175e-16,2,1,1,5.22e-03
PAJ_CPLEX_MOSEK,clay0205h.cbf,Min,Optimal,8092.50003094028,8092.5,39.60446810722351,39.60944199562073,PAJ_CPLEX_MOSEK.clay0205h.txt,0.0,5.533340186048008e-8,0.0,-Inf,-Inf,0.0,Optimal,3.7032305517631942e-9,3,2,1,2.86e-02
PAJ_CPLEX_MOSEK,clay0205m.cbf,Min,Optimal,8092.500080473876,8092.5,7.045747995376587,7.048890113830566,PAJ_CPLEX_MOSEK.clay0205m.txt,0.0,0.0,0.0,-Inf,-Inf,0.0,Optimal,2.360134510188567e-15,2,2,0,6.95e-03
