
ECOS 2.0.5 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
23  -1.526e-01  -1.578e-01  +8e-03  3e-05  8e-06  3e-05  6e-06  0.4010  4e-01   3  2  2 |  4  4
24  -1.509e-01  -1.550e-01  +6e-03  2e-05  7e-06  3e-05  4e-06  0.9791  7e-01   2  2  2 |  9  0
25  -1.491e-01  -1.522e-01  +4e-03  2e-05  5e-06  2e-05  3e-06  0.7833  6e-01   2  2  2 |  7  1
26  -1.488e-01  -1.518e-01  +4e-03  2e-05  5e-06  2e-05  3e-06  0.9791  9e-01   2  2  2 | 15  0
27  -1.473e-01  -1.494e-01  +3e-03  1e-05  3e-06  2e-05  2e-06  0.5013  4e-01   2  2  2 |  4  3
28  -1.460e-01  -1.475e-01  +2e-03  9e-06  3e-06  1e-05  1e-06  0.9791  7e-01   2  2  2 |  8  0
29  -1.450e-01  -1.461e-01  +1e-03  7e-06  2e-06  1e-05  9e-07  0.9791  7e-01   2  2  2 |  8  0
30  -1.442e-01  -1.450e-01  +8e-04  5e-06  1e-06  7e-06  6e-07  0.7833  6e-01   2  2  2 |  7  1
31  -1.440e-01  -1.447e-01  +7e-04  4e-06  1e-06  7e-06  5e-07  0.9791  9e-01   2  1  1 | 12  0
32  -1.432e-01  -1.436e-01  +4e-04  2e-06  6e-07  4e-06  3e-07  0.6266  3e-01   2  1  1 |  3  2
33  -1.431e-01  -1.434e-01  +3e-04  2e-06  5e-07  3e-06  2e-07  0.9791  8e-01   1  2  2 | 12  0
34  -1.426e-01  -1.428e-01  +1e-04  1e-06  3e-07  2e-06  1e-07  0.6266  1e-01   2  2  2 |  2  2
35  -1.424e-01  -1.424e-01  +6e-05  4e-07  1e-07  7e-07  4e-08  0.9791  4e-01   1  1  2 |  5  0
36  -1.423e-01  -1.423e-01  +2e-05  1e-07  3e-08  2e-07  1e-08  0.9791  3e-01   1  1  1 |  4  0
37  -1.422e-01  -1.422e-01  +3e-06  2e-08  6e-09  4e-08  2e-09  0.9791  2e-01   1  1  1 |  3  0
38  -1.422e-01  -1.422e-01  +2e-06  1e-08  4e-09  2e-08  1e-09  0.6266  4e-01   1  2  1 |  5  2
39  -1.422e-01  -1.422e-01  +4e-07  3e-09  8e-10  5e-09  3e-10  0.7833  2e-02   1  2  1 |  1  1
40  -1.422e-01  -1.422e-01  +2e-07  1e-09  3e-10  2e-09  1e-10  0.6266#SOLVERNAME# ECOS
#SOLVER# ECOS.ECOSSolver(Any[(:verbose, true)])
#INSTANCE# multiportfolio_socexp_6.cbf.gz
#TIMELIMIT# 300.0
#STATUS# Optimal
#OBJVAL# -0.1422063409461472
#OBJBOUND# NaN
#NODECOUNT# NaN
#TIMESOLVER# 0.43778204917907715
#TIMEALL# 1.806351900100708
#SOLUTION# [-1.0226807865281126e-13,1.1208649834874053e-14,-4.5457262364715044e-14,-4.501351152718994e-14,-5.0668306121432776e-14,-6.224570516615913e-14,-6.508991576862223e-15,0.0032956926662577445,-1.848831812262099e-14,2.2300138098660827e-14,-6.390852101328642e-14,1.880658445040979e-14,-8.02744754989871e-15,-4.3221739061904336e-15,0.0011178125882618237,-4.500081536977929e-14,0.004005424054510157,4.404788328184001e-15,3.783335319973616e-14,-4.861923680706546e-15,2.494616886937675e-14,0.0004996166442190956,7.596554192801098e-15,-8.808824902172026e-14,0.009474608124960489,-1.8743658167274312e-14,-8.496809084035274e-14,-1.9006799581471113e-14,0.006161104288634884,-8.719157716779813e-15,0.00676964132539228,-2.989360597098517e-14,-4.1520914926219265e-15,9.832322082346337e-15,-9.076169406644285e-15,0.0013452651379605096,1.083412490842954e-14,2.3956495246579226e-14,-2.1413133155258013e-14,-3.116025519595583e-14,0.005701589243512753,0.0061049810738787146,0.019895965441345753,-1.200794340222194e-16,-4.805905496556326e-14,-5.200928836117408e-15,0.001612637423989604,-4.104901388867067e-14,-5.077811874272291e-15,6.958945383672825e-9,-6.987261385349495e-15,-1.2016776937989426e-14,-2.4893241667486317e-14,-4.7492384151237233e-14,-1.5342724450798846e-14,0.010023189006016496,-9.723959859235542e-15,-7.522086313974911e-15,-8.418165607912729e-14,0.004680506542246709,-4.4479327030053504e-14,-1.467893226895285e-14,-2.8503274186601313e-14,1.559041754665247e-8,-2.5715771312065092e-14,0.011777383671348854,-4.292389718113005e-14,-1.887840525377176e-14,3.759769705645608e-16,3.668332747417602e-9,-4.1010768933775696e-14,2.445741873236711e-14,-8.55518167533178e-14,-1.5695300048744207e-14,-1.6344224188438236e-14,-6.235585695328186e-14,-4.948911585588407e-14,1.3845509691848655e-15,-4.276388918186526e-14,0.012324549542165898,-2.6406652479090116e-14,0.0068960413934771765,0.0018456161758553667,0.014218218408551548,-8.385217178272171e-15,-9.920265689890162e-15,0.011204456836784204,3.9233291290140385e-14,2.4389422585883246e-14,-2.4012989132911698e-14,-2.846225376252745e-14,-2.2282144950215032e-14,0.009181489918541133,-4.088297463419439e-15,9.312454024387167e-9,-2.2840351916652844e-14,-4.0635400407967406e-14,-8.204112330493386e-14,-3.5164863068790886e-14,0.0027595624551617027,-4.1728474923739143e-14,-2.7012379756694402e-14,-3.0409455359082937e-14,0.012078407704067937,-4.555650891484566e-14,-4.169104097431893e-14,0.018690755340336304,0.01927629011971199,0.018625420252570097,-5.634987693285777e-15,5.67350670058906e-14,-7.498297146656997e-16,-1.1418008327257665e-14,1.2120383701398589e-14,2.440741548329848e-14,-3.9852757339654025e-14,6.4642652220825625e-15,2.885025713059408e-14,0.0035708701826913988,-2.6335107096006128e-14,-6.438942143382618e-14,1.8510874190115808e-14,2.4018255562725846e-14,7.245387930357912e-14,0.005595622219042017,3.0095228681906e-14,-3.319858546522221e-14,1.3582283628886024e-14,-9.327199306902808e-15,-3.325783854534917e-14,0.017542160747493065,7.829292669502843e-14,9.225291794398139e-14,-3.640216076458494e-14,-5.815688301480263e-14,0.004752395320824256,-1.623345247886471e-14,0.007018145256754971,-2.807562149877225e-14,1.3401153709926685e-14,6.895532187191565e-14,-7.889945353745291e-15,9.023404388720534e-14,8.641647431941925e-15,5.680142328662394e-14,-3.457337613040006e-14,0.00508237540538011,-1.4696009871939213e-14,7.453433905767156e-14,1.8415500922224567e-14,-5.881901998699102e-14,1.8146719061931713e-14,-2.0035304178292708e-14,-9.372103206596839e-14,-5.18205968436271e-14,-3.814186758739447e-14,3.142042931305555e-14,4.97455762992217e-14,1.1001350328217758e-15,6.423509623259013e-14,1.375837358751988e-7,-2.42823307504235e-15,0.03432623044197236,-3.388723486479557e-14,2.5990441220604646e-15,1.3691769295654712e-14,-5.15098324340183e-15,-3.2021944586748635e-14,-5.0927466669756154e-14,1.143764576796956e-14,-1.5883355949496746e-14,0.006032005596865974,-7.516110961859565e-15,-1.2719411754294718e-14,-6.708640856970737e-15,-5.0525294218682147e-14,3.042974352909263e-14,-2.5153489627456896e-14,7.55270339615707e-15,-1.5071423194220715e-14,1.2255575526687489e-14,-1.2392278169031694e-14,-5.6991247105336464e-15,7.14375522702424e-14,-8.55678471187465e-14,2.37325264885016e-14,-1.6526315295767203e-14,0.0026604321174495873,0.013807740331095286,1.4081280635471978e-14,-1.9740292444382672e-14,-8.736239871121504e-15,-1.7822200425156722e-14,1.0161315464801972e-14,-3.3949767195264904e-14,-2.4409591445087854e-14,-2.931177058067451e-14,3.588633113237216e-14,2.0996928266093755e-14,-1.932936767142698e-14,4.036247572517289e-14,-5.922071990908826e-14,-5.4579168672090165e-14,4.607009537930193e-8,3.300055161327841e-14,-6.822200278304839e-15,2.0954040000148148e-14,-3.2297069847282836e-14,-5.182686068822169e-14,1.7674157142360743e-14,7.405050284996779e-16,0.0016614502455817484,-6.9681179660041975e-15,6.68636328617072e-14,-4.531530154727292e-14,-3.2684996064741596e-14,3.942109272523569e-14,-2.5176816035057678e-14,0.010083375790255797,0.01242560002711186,0.008729725991042813,0.005348993392949727,3.03146170679362e-15,-2.066499056016689e-14,0.0016193114186614655,9.658767736147734e-15,-4.1239760249574766e-14,3.8886520101285046e-14,-6.963065697821312e-14,-2.6888094185964567e-14,-4.2686650631396774e-14,-1.9263752565738425e-14,-1.0431818337970193e-14,0.02782511338478824,-7.527674575432867e-16,-3.1811940367617364e-14,-1.433066932178305e-14,7.875581694055665e-9,1.958797813427074e-14,-3.682870717953928e-14,-3.916897967844904e-14,0.004166959848528438,2.4144211884569667e-14,4.450352356204549e-14,0.01336408850916978,-2.209170067865323e-14,-2.958372747704714e-14,-5.4362418175710065e-14,0.008362688838889127,0.009386235742163428,1.3030379709787476e-14,1.4095604456691067e-14,-3.50529487129647e-14,-3.7948414164537515e-14,5.92898434024619e-14,0.00626943632436644,-4.391575847593763e-14,1.847191888403623e-14,0.01823188307147681,3.6750500375227105e-15,-4.712108959418873e-14,-3.8702621542609315e-15,-5.93934119845213e-14,-2.3918704299405714e-15,-4.962816408641905e-14,-5.0440868848095163e-14,1.453346474378658e-14,3.414885562725239e-14,-1.5151100336439907e-14,-9.590829491760855e-15,-2.7935666561908425e-14,-3.9919546382455325e-14,-5.2072448402137056e-14,-5.6474948282334887e-14,-9.26697223822014e-16,0.008343733333007365,0.0025524798243903414,-1.4730150837630974e-14,-1.633105889325467e-14,-1.7097022719437543e-14,3.2366039215695118e-9,1.22156449863165e-8,0.0032065793182651527,-3.6683794605328116e-15,1.5614923820166976e-14,-5.580540780207904e-14,0.013088253044464444,-1.933935679866467e-14,1.950549722917626e-14,4.1486465855490307e-14,-3.113790740878485e-14,1.4043517980467971e-14,-1.6514084262769637e-14,-4.4139438733409596e-14,-1.8896218927546808e-14,-3.9107081043479424e-14,-5.477133125764646e-14,-6.14869172715079e-14,-2.5710659855899835e-14,0.0033379110687750727,0.021154213560989402,7.482016059653071e-14,5.514011114757997e-14,0.022248691141716972,2.1189957108567816e-14,0.029915292520337294,3.3136757572593657e-15,2.8525614841393393e-14,2.9566002871280305e-14,0.010823443021083326,0.04197632969454605,5.408051846785013e-14,0.02101205707736894,1.732599505237112e-14,-2.3076304957836717e-14,0.010668358913259719,1.961100996699723e-14,0.0057734324673566,1.3556421785384973e-14,9.42818251344153e-15,5.240689088591696e-14,2.2147181881598937e-15,2.1033534480374738e-14,2.8226776876378194e-14,1.1278426437397312e-14,1.9139761604461882e-14,0.02907473254567975,-2.6941095052722744e-14,1.4900117145656388e-14,6.006053712355384e-14,1.8387600317611666e-15,0.023540437316965142,0.013459089497051803,1.8146847073688327e-14,3.995379673376779e-13,3.445477674010819e-14,-1.5591197087322067e-15,-3.879258063443099e-15,4.667677796579001e-14,2.917522856342504e-14,4.7679638568699653e-14,9.760506885967936e-14,-6.566262392178012e-15,9.191212869339077e-15,1.8593181714415775e-14,0.044738993898370445,1.8641546209182246e-14,1.7520601201419813e-15,1.5697330560672226e-14,3.5133464465713936e-14,4.609848814947951e-14,0.014892507189225117,1.1572145723270067e-14,5.771597504245088e-14,0.024255286323969363,4.694718365949535e-14,1.7804871006014e-13,2.2664498919721627e-13,0.03799498626328289,0.01662384483708122,9.762605091107429e-14,1.0771877320500981e-15,0.004746883787807725,3.2755374240268695e-15,9.197367440158744e-15,2.4578156164092502e-14,1.6720356334503844e-14,1.8371461360531992e-14,5.025362429299197e-15,3.417779646638384e-14,2.7918910322131145e-14,9.036760778351677e-8,0.03383500562126101,6.37010976223237e-14,0.03094893037538893,-4.724840414418136e-15,0.018243134816824005,3.3842092574601234e-15,2.6858171929736116e-15,2.270214012490404e-14,0.004336741564365267,2.688080338008405e-13,1.8738980841104545e-14,6.909769281609972e-15,2.0137074617476456e-13,-1.9793483168437632e-14,0.051559384997537636,0.010219866003240496,1.3964111079687092e-13,9.04408291861925e-15,0.003688594406233103,0.0006081189444848635,0.002140992503575479,0.0026091914741510048,0.001672439598422312,0.002488363944851326,0.001874625174844258,0.005695334912369946,0.0050646536886484956,0.0009655128454957571,0.0015299554665404388,0.002710794872333825,0.0034779545158385963,0.002460051377940175,0.009734425157321706,0.0011719041079873878,0.0025069712212714814,0.002164520872845233,0.0007199238618934894,0.0014467847257109438,0.0011325608736754594,0.00140394223343222,0.0031289241801454597,0.002176743662691838,0.008475889920767535,0.0015453984599758464,0.004619742974799424,0.0024940906639598338,0.0030804740557499365,0.0026490740501228477,0.006694851748622016,0.0017728823735317814,0.0014629121116035934,0.0030911535304688,0.0012306841303207337,0.004360587902719832,0.0005830173707715888,0.0006579319365432326,0.0016797091308905006,0.0022563139295128562,0.006661223485773705,0.005479841893493209,0.0264960346911301,0.0005793466787782656,0.0021196036912614884,0.0008429314838469396,0.0047306016197690435,0.0035377195261080707,0.0009034027063889454,0.0037442205514727008,0.001781233323392434,0.0024927940518594542,0.003219793523661488,0.0012029561465926538,0.0021839142672249417,0.009636511435194919,0.0018205378911380992,0.0011393847809259637,0.0025873409301459694,0.006900992327695383,0.0028706512351589974,0.0010566946056880476,0.0009083286508484,0.004219185515481223,0.0015920685325155825,0.006617375810917201,0.0017035529927980377,0.0010651149220044702,0.002040793589580759,0.0027048986866021426,0.0014753984640108707,0.0005841369315408419,0.0026029603666834467,0.001391725202967315,0.0014195813543277174,0.0012840157550812227,0.0013851850427970642,0.0018522030481769698,0.0028773102915928485,0.0048996967703873,0.005161699745840814,0.010232330516878236,0.011387563810788051,0.011308964615461266,0.0016496176042873633,0.0009788539921485422,0.014874722498079345,0.0005790792264397257,0.0026701795124542244,0.003113175268218694,0.001441095779169992,0.0015021694113845265,0.010484686075796454,0.0029544526276506,0.0014510021124048492,0.003727631769649858,0.0029471206995442035,0.0040021394339950205,0.0010256540333565534,0.009644856667489592,0.008143724529582187,0.00408729572029278,0.0017613096154364218,0.005348444327075273,0.0017040200023575734,0.0021964967185840764,0.014308419144511864,0.014547867049588771,0.011568997023721226,0.001357804410999593,0.001730576374581589,0.0008355265889257636,0.0011424858170163078,0.0012058642349470033,0.001263205029947762,0.0020080285024377063,0.0019950784884386753,0.002891071768424646,0.010758048485631572,0.004283031597475854,0.005487133069840429,0.003909000101878582,0.0022255607734619014,0.0005468999123332271,0.0033639535768542487,0.00020245699826278298,0.0049304345102663075,0.0006787378753649464,0.0013388432804427688,0.0014284825343221967,0.009975470017078493,0.0019760918023411893,0.0031478089981003053,0.0031311521086547687,0.0015873365961502038,0.0040229474979410415,0.0026018645310863005,0.009929696788112112,0.0018697985749224608,0.00553488972780316,0.0018186221329177705,0.0017045145266162208,0.001628574740757744,0.0018079086078645157,0.0017284432270850672,0.002248712585136945,0.004638786390169401,0.0011906248814330877,0.003398447088333355,0.003679997552801411,0.0038260786794124904,0.001946572578493358,0.0008007411970403663,0.0031752601323308625,0.0012031990679389401,0.005540586249275033,0.001747744879565155,0.001439813284423611,0.0014353873284826376,0.0030049851805669567,0.0013807378694504489,0.0015691300763343973,0.023905983096377183,0.0016817489092619973,0.0019140438650403198,0.0016484733256145272,0.0028048158886276025,0.0022769576349020537,0.0026675146470730264,0.0019408614312283867,0.0013419095378048316,0.00837315889623161,0.004525396558884352,0.0014610089234127091,0.0017552721657945226,0.0026617147520624747,0.0004330300839854636,0.0010255767627446947,0.0006032504532197771,0.001716416964308331,0.0015847955315951552,0.0003675779457682584,0.0012282322511196926,0.0019143200617093,0.0025368421520493324,0.004119504204975044,0.002938381365572102,0.009490690514351136,0.011897483463883888,0.0056248017207242,0.008784372948022433,0.001110835059684912,0.0018634786334577919,0.001595904171300123,0.004805747351931374,0.0023000996253384133,0.0034104667367611846,0.0012102294466530517,0.00019727911213881456,0.0014214353882509854,9.610123782890081e-5,0.001817162565995029,0.0025105864455093564,0.0063858222405425435,0.0021315221710267677,0.002167332152247468,0.0011946293171019664,0.003477036812577882,0.0026590613801695286,0.001711811810707947,0.002261320273716879,0.0057019259699035586,0.0011299945730669498,0.0010388188731670716,0.003794502910690261,0.00468878498784022,0.00455577349169265,0.0015447054644987632,0.006048243528769483,0.007566283665967896,0.011080048253676847,0.006064278856990532,0.0012940189200266038,0.0036948843780019195,0.005375967634845326,0.0016986996799117828,0.002726660161607628,0.004084519217315591,0.0019395550384994774,0.006185981770122787,0.0019368688743556764,0.0029146746312665324,0.001044761600579405,0.020799311697965638,0.001379357007616818,0.0028656477848128022,0.0029554800852006403,0.001557606468146625,0.001158217728293709,0.004559343868367432,0.001655358767950056,0.011592376744131562,0.0019031087759659527,0.0015984735853495499,0.014359257105187826,0.0031964360440414827,0.0018703977816413705,0.0076244608757149255,0.01115236287158164,0.0077690878263638385,0.004229007044639534,0.0022492055238973385,0.002083709319284101,0.0013673266678928735,0.0038212927956493255,0.006304024554414937,0.004197636076727304,0.0062233364126332525,0.013573381698326907,0.0018235526156982762,0.001553735891528323,0.0007208675016391579,0.001964082268061387,0.0014551963870158685,0.0023466406498332416,0.006311129791690802,0.0005352256826524003,0.0029429817681046887,0.0013642940584538217,0.0011850899862991806,0.001318356707721589,0.0032339341448469065,0.0023078311314665375,0.002847683252478805,0.0014073018888523833,0.0077936391040525615,0.00914706464234461,0.0024036976665318542,0.0019156381306799147,0.003299869636945866,0.004159235863453439,0.0016252519584268055,0.0066897431138146085,0.0015293501978668853,0.0020300012114050615,0.0024501379701619514,0.009566515544208575,0.002169326438783515,0.004035556301661728,0.0012819686181919409,0.0016597245949842299,0.002310946074402098,0.0027450873321851477,0.0036718069887918888,0.0018906453825871918,0.0017787258378334566,0.0035725931982464286,0.0033812804942520494,0.002241865939945463,0.0035600625536600203,0.01346726969160923,0.0012347332924233807,0.003133300377604635,0.014493435524293389,0.0012040709368692155,0.015983903157288707,0.0014870588964808447,0.0008817252947235575,0.003918815404302847,0.012291099199886076,0.025963765151486906,0.0019064305734059015,0.009107193689686955,0.001609411529126183,0.0027787329866411988,0.014629691664206029,0.0009177569984968928,0.01541139714149602,0.0017779444473406314,0.004314648890570944,0.0017487265483957961,0.0025972985685952816,0.00275183052412722,0.002366640679657458,0.001785572093822575,0.0018036516160133038,0.019593275233835934,0.002150949889489498,0.0015145118373448279,0.002309969290405596,0.0013039254411855437,0.012935044374997645,0.011209688581150918,0.0015453815474158845,0.007834596275769178,0.006979108686516054,0.0067598496778133324,0.0013913982990462527,0.0005499995841089802,0.0007857940320093829,0.004653800621900627,0.005165187561335822,0.0028004802555418058,0.0016037170622982067,0.0023529669480651548,0.026391830471984186,0.0015291037478639012,0.001715146207908491,0.0021184431414930063,0.0017978815596641471,0.00046163496264561556,0.016382257229003015,0.0028132330781320404,0.002989625207818115,0.01443028298917077,0.003592548252818443,0.0016980017733280737,0.00316827496955379,0.02565565725624698,0.009622014823631475,0.009250710838285494,0.0049378680903096345,0.005920589463874319,0.0048770680205497356,0.001688268249446773,0.0019419418686811019,0.001981001639481492,0.0015667628624733492,0.005990184857617954,0.0026030808389215713,0.0010664643881991766,0.004018554520319025,0.013942708772227032,0.001158199243923826,0.01893482545836878,0.00286991051362167,0.006856820614880882,0.0030018301060384164,0.0069764622862764115,0.001087821130828534,0.0048692515226199514,-0.0023586127646601862,0.00851370019450231,0.0017089832307632057,-0.000454467353927777,0.004373829317459511,0.03559782511386086,0.012700576498858552,0.0032758798249225346,0.00513017273118828,0.01355754897141861,0.0012354952407095546,0.0031382040280297932,0.014597961568510977,0.0012047955030503427,0.016110970488150893,0.00148816397703888,0.0008821138746655932,0.003926483921186043,0.012366327141514392,0.02629794386079628,0.0019082466253664476,0.00914853881260838,0.0016107059093959269,0.002782590073442215,0.014736187504369764,0.000918177973689175,0.015529547280200591,0.0017795240302737718,0.0043239435915103175,0.0017502546463949772,0.002600668597053631,0.0027556133211102396,0.002369438932471588,0.0017871652561416037,0.0018052771841129188,0.019783981922787817,0.002153261495496489,0.0015156581147396998,0.0023126351891761365,-0.01337617618984287,-0.001233970725017351,-0.003128386482582534,-0.014387894581797999,-0.0012033457737312071,-0.01585547449885605,-0.0014859527034976725,-0.000881336489463354,-0.0039111268177843776,-0.01221525227703998,-0.025623751064319994,-0.0019046122023348862,-0.009065596751342449,-0.0016081157620518249,-0.0027748687573837514,-0.014522152047249645,-0.0009173357703784409,-0.015292026786846245,-0.0017763630007857864,-0.0043053273991149445,-0.0017471966679954867,-0.0025939226976412545,-0.0027480407946555057,-0.002363838010740781,-0.0017839770369003248,-0.0018020240812194866,-0.019400060991777688,-0.002148634964368373,-0.0015133644213235794,-0.0023072992874800594,0.0013047751681773505,0.013018343660909317,0.011272283673643342,0.001546575016249907,0.007865206867038302,0.007003406183415636,0.006782646137502754,0.001392365834576092,0.0005501507869631965,0.0007861026639283339,0.004664612779530139,0.005178504216788502,0.002804397925113854,0.001605002321133536,0.0023557329922000787,0.02673707080966791,0.0015302722114170445,0.001716616210652643,0.0021206854420999515,0.0017994967646806832,0.00046174148490074206,0.016515719570901786,0.0028171864890766075,0.0029940896719609397,0.014533902275046404,0.0035989937179273235,0.0016994425530748637,0.0031732886477124854,0.025981984669417472,0.00966815863744836,-0.0013030749761098305,-0.012851023652251117,-0.011146623948851256,-0.0015441868433458382,-0.0078038253846759095,-0.006954697867037432,-0.006736950249966628,-0.00139042987230054,-0.000549848321596688,-0.0007854852300559491,-0.0046429548703599615,-0.0051518249680211,-0.0027965552566937466,-0.0016024304437911464,-0.002350196563009828,-0.02604046129157992,-0.0015279340902447924,-0.001713674523386377,-0.0021161976724500793,-0.001796264416575603,-0.00046152841431065463,-0.01624732924166579,-0.0028092722477414574,-0.0029851518315356642,-0.014325662020112496,-0.0035860873200194215,-0.0016965593623554367,-0.003163250700787807,-0.0253236997467734,-0.009575574057432578,0.009293367262816123,0.004950039260194451,0.005938081587741565,0.004888941539782922,0.0016896924899560037,0.0019438261544485792,0.001982962435359765,0.0015679895119543325,0.006008090206607323,0.002606465844825327,0.0010670327670284905,0.00402661803900707,0.014039459633827144,0.0011588696171328117,0.019112968341069087,0.0028740247023732583,0.006880274960296785,0.0030063310162270354,0.007000741326797594,0.0010884125049579027,0.004881087056686713,-0.0023558291322116594,0.008549839235950414,0.0017104426331414379,-0.00045436414636187077,0.004383380505258939,0.03622404032472592,0.012780889452137408,0.003281239563483142,0.005143309519207601,-0.00920779054058709,-0.004925656789395975,-0.00590302817081469,-0.004865155855673173,-0.0016868423886053554,-0.0019400551680886738,-0.0019790382310724925,-0.0015655349429054945,-0.005972207849513585,-0.0025996899472001144,-0.0010658955781745474,-0.004010469398646999,-0.01384505440100796,-0.0011575283467859874,-0.018754419444320217,-0.00286578847656724,-0.006833258813621649,-0.0029973201762620817,-0.006952070049712714,-0.0010872293142192384,-0.004857377518477702,0.0023613920363376086,-0.008477355445574762,-0.0017075221682174967,0.0004545705051783126,-0.004364250246452572,-0.034956567610391495,-0.012619580626164886,-0.003270508348232986,-0.0051169909018496575]
  6e-02   1  1  1 |  2  2
41  -1.422e-01  -1.422e-01  +6e-09  4e-11  1e-11  6e-11  4e-12  0.9791  1e-02   0  1  1 |  1  0

OPTIMAL (within feastol=4.1e-11, reltol=4.1e-08, abstol=5.8e-09).
Runtime: 0.442777 seconds.

